year,city,country,avg_temp
1743,Munich,Germany,1.32
1744,Munich,Germany,6.09
1745,Munich,Germany,-2.15
1746,Munich,Germany,
1747,Munich,Germany,
1748,Munich,Germany,
1749,Munich,Germany,
1750,Munich,Germany,5.40
1751,Munich,Germany,5.54
1752,Munich,Germany,0.53
1753,Munich,Germany,4.61
1754,Munich,Germany,4.33
1755,Munich,Germany,4.05
1756,Munich,Germany,4.64
1757,Munich,Germany,4.30
1758,Munich,Germany,3.83
1759,Munich,Germany,4.89
1760,Munich,Germany,5.02
1761,Munich,Germany,4.94
1762,Munich,Germany,4.49
1763,Munich,Germany,4.25
1764,Munich,Germany,4.82
1765,Munich,Germany,4.52
1766,Munich,Germany,4.28
1767,Munich,Germany,3.85
1768,Munich,Germany,3.84
1769,Munich,Germany,4.43
1770,Munich,Germany,4.36
1771,Munich,Germany,4.19
1772,Munich,Germany,5.81
1773,Munich,Germany,4.76
1774,Munich,Germany,4.43
1775,Munich,Germany,5.03
1776,Munich,Germany,4.21
1777,Munich,Germany,4.28
1778,Munich,Germany,5.21
1779,Munich,Germany,5.53
1780,Munich,Germany,4.71
1781,Munich,Germany,5.48
1782,Munich,Germany,3.96
1783,Munich,Germany,5.22
1784,Munich,Germany,3.67
1785,Munich,Germany,3.35
1786,Munich,Germany,3.71
1787,Munich,Germany,4.83
1788,Munich,Germany,4.69
1789,Munich,Germany,4.26
1790,Munich,Germany,4.91
1791,Munich,Germany,5.09
1792,Munich,Germany,4.77
1793,Munich,Germany,5.06
1794,Munich,Germany,5.54
1795,Munich,Germany,4.59
1796,Munich,Germany,4.65
1797,Munich,Germany,5.55
1798,Munich,Germany,4.81
1799,Munich,Germany,3.26
1800,Munich,Germany,5.02
1801,Munich,Germany,5.31
1802,Munich,Germany,5.07
1803,Munich,Germany,4.20
1804,Munich,Germany,4.80
1805,Munich,Germany,3.09
1806,Munich,Germany,5.40
1807,Munich,Germany,5.05
1808,Munich,Germany,3.58
1809,Munich,Germany,4.61
1810,Munich,Germany,4.72
1811,Munich,Germany,5.70
1812,Munich,Germany,3.39
1813,Munich,Germany,3.87
1814,Munich,Germany,3.46
1815,Munich,Germany,4.01
1816,Munich,Germany,2.96
1817,Munich,Germany,4.21
1818,Munich,Germany,4.66
1819,Munich,Germany,4.97
1820,Munich,Germany,3.88
1821,Munich,Germany,4.59
1822,Munich,Germany,5.85
1823,Munich,Germany,4.22
1824,Munich,Germany,4.89
1825,Munich,Germany,5.07
1826,Munich,Germany,4.81
1827,Munich,Germany,4.71
1828,Munich,Germany,5.02
1829,Munich,Germany,2.79
1830,Munich,Germany,3.90
1831,Munich,Germany,4.82
1832,Munich,Germany,4.25
1833,Munich,Germany,4.45
1834,Munich,Germany,5.72
1835,Munich,Germany,4.07
1836,Munich,Germany,4.40
1837,Munich,Germany,3.68
1838,Munich,Germany,3.29
1839,Munich,Germany,4.66
1840,Munich,Germany,3.66
1841,Munich,Germany,5.16
1842,Munich,Germany,4.09
1843,Munich,Germany,4.48
1844,Munich,Germany,4.03
1845,Munich,Germany,3.73
1846,Munich,Germany,5.54
1847,Munich,Germany,3.90
1848,Munich,Germany,4.61
1849,Munich,Germany,4.37
1850,Munich,Germany,3.84
1851,Munich,Germany,3.66
1852,Munich,Germany,5.02
1853,Munich,Germany,3.69
1854,Munich,Germany,4.08
1855,Munich,Germany,3.52
1856,Munich,Germany,4.30
1857,Munich,Germany,4.41
1858,Munich,Germany,3.63
1859,Munich,Germany,5.07
1860,Munich,Germany,3.41
1861,Munich,Germany,4.62
1862,Munich,Germany,5.39
1863,Munich,Germany,5.35
1864,Munich,Germany,3.26
1865,Munich,Germany,4.75
1866,Munich,Germany,5.01
1867,Munich,Germany,4.44
1868,Munich,Germany,5.54
1869,Munich,Germany,4.69
1870,Munich,Germany,3.57
1871,Munich,Germany,3.53
1872,Munich,Germany,5.51
1873,Munich,Germany,4.77
1874,Munich,Germany,4.18
1875,Munich,Germany,3.96
1876,Munich,Germany,4.64
1877,Munich,Germany,4.79
1878,Munich,Germany,4.26
1879,Munich,Germany,3.53
1880,Munich,Germany,4.74
1881,Munich,Germany,4.24
1882,Munich,Germany,4.58
1883,Munich,Germany,4.16
1884,Munich,Germany,4.67
1885,Munich,Germany,4.47
1886,Munich,Germany,4.61
1887,Munich,Germany,3.41
1888,Munich,Germany,3.69
1889,Munich,Germany,3.72
1890,Munich,Germany,3.67
1891,Munich,Germany,3.70
1892,Munich,Germany,4.45
1893,Munich,Germany,4.44
1894,Munich,Germany,4.52
1895,Munich,Germany,4.00
1896,Munich,Germany,3.84
1897,Munich,Germany,4.67
1898,Munich,Germany,5.13
1899,Munich,Germany,4.72
1900,Munich,Germany,5.00
1901,Munich,Germany,4.01
1902,Munich,Germany,4.24
1903,Munich,Germany,4.57
1904,Munich,Germany,5.07
1905,Munich,Germany,4.31
1906,Munich,Germany,4.48
1907,Munich,Germany,4.38
1908,Munich,Germany,3.98
1909,Munich,Germany,3.75
1910,Munich,Germany,4.47
1911,Munich,Germany,5.22
1912,Munich,Germany,4.13
1913,Munich,Germany,4.66
1914,Munich,Germany,4.43
1915,Munich,Germany,4.39
1916,Munich,Germany,4.90
1917,Munich,Germany,3.91
1918,Munich,Germany,4.75
1919,Munich,Germany,3.85
1920,Munich,Germany,5.29
1921,Munich,Germany,5.48
1922,Munich,Germany,3.93
1923,Munich,Germany,4.88
1924,Munich,Germany,4.11
1925,Munich,Germany,4.42
1926,Munich,Germany,5.11
1927,Munich,Germany,4.86
1928,Munich,Germany,5.19
1929,Munich,Germany,4.13
1930,Munich,Germany,5.24
1931,Munich,Germany,3.88
1932,Munich,Germany,4.61
1933,Munich,Germany,3.88
1934,Munich,Germany,5.59
1935,Munich,Germany,4.57
1936,Munich,Germany,4.88
1937,Munich,Germany,5.20
1938,Munich,Germany,4.82
1939,Munich,Germany,4.49
1940,Munich,Germany,3.45
1941,Munich,Germany,3.80
1942,Munich,Germany,4.28
1943,Munich,Germany,5.56
1944,Munich,Germany,4.28
1945,Munich,Germany,5.20
1946,Munich,Germany,5.14
1947,Munich,Germany,5.51
1948,Munich,Germany,5.49
1949,Munich,Germany,5.55
1950,Munich,Germany,5.44
1951,Munich,Germany,5.29
1952,Munich,Germany,4.67
1953,Munich,Germany,5.22
1954,Munich,Germany,4.27
1955,Munich,Germany,4.39
1956,Munich,Germany,3.58
1957,Munich,Germany,5.11
1958,Munich,Germany,4.93
1959,Munich,Germany,5.51
1960,Munich,Germany,4.97
1961,Munich,Germany,5.85
1962,Munich,Germany,3.94
1963,Munich,Germany,3.99
1964,Munich,Germany,4.92
1965,Munich,Germany,4.08
1966,Munich,Germany,5.10
1967,Munich,Germany,5.18
1968,Munich,Germany,4.68
1969,Munich,Germany,4.42
1970,Munich,Germany,4.41
1971,Munich,Germany,4.86
1972,Munich,Germany,4.69
1973,Munich,Germany,4.57
1974,Munich,Germany,5.23
1975,Munich,Germany,5.20
1976,Munich,Germany,4.95
1977,Munich,Germany,5.32
1978,Munich,Germany,4.32
1979,Munich,Germany,4.87
1980,Munich,Germany,4.19
1981,Munich,Germany,4.82
1982,Munich,Germany,5.51
1983,Munich,Germany,5.60
1984,Munich,Germany,4.43
1985,Munich,Germany,4.52
1986,Munich,Germany,4.85
1987,Munich,Germany,4.69
1988,Munich,Germany,5.64
1989,Munich,Germany,5.88
1990,Munich,Germany,5.92
1991,Munich,Germany,4.93
1992,Munich,Germany,5.91
1993,Munich,Germany,5.33
1994,Munich,Germany,6.64
1995,Munich,Germany,5.33
1996,Munich,Germany,4.49
1997,Munich,Germany,5.79
1998,Munich,Germany,5.66
1999,Munich,Germany,5.55
2000,Munich,Germany,6.33
2001,Munich,Germany,5.59
2002,Munich,Germany,6.26
2003,Munich,Germany,6.12
2004,Munich,Germany,5.43
2005,Munich,Germany,5.01
2006,Munich,Germany,5.94
2007,Munich,Germany,6.28
2008,Munich,Germany,5.94
2009,Munich,Germany,5.89
2010,Munich,Germany,4.85
2011,Munich,Germany,6.56
2012,Munich,Germany,5.88
2013,Munich,Germany,6.00
